en,sources,uri,de,,synonyms,synonyms_de,definition_de,definition_en,Beispiele für Softwareprodukte,softwareproducts,Aufgaben der Gesundheitsversorgung,functions (classified),"zusätzliche Aufgaben (AW, FJ)",Kommentare
Patient administration system,,MbPatientAdministrationSystem,Patientenverwaltungssystem,MbPatientenverwaltungssystem,,Patientendatenverwaltungssystem,"Das Patientenverwaltungssystem unterstützt die Verwaltung von Patienten- und Falldaten, die für Abrechnung und gesetzliche Nachweispflichten notwendig sind. Andere Anwendungssysteme senden relevante administrative Daten an das Patientenverwaltungssystem und dieses stellt für andere Anwendungssysteme die korrekten und aktuellen Patienteninformationen zur Verfügung. Es ist der zentrale Speicher aller administrativen Daten im Krankenhaus und beinhaltet meist einen Master Patient Index zur Verwaltung von PIN und CIN.",,,,Termin- und Ressourcenplanung; Identifikation und Prüfung auf Wiederkehrer; Administrative Aufnahme; Besucher- und Informationsdienste; Kodieren von Diagnosen und Maßnahmen; Administrative Entlassung und Leistungsabrechnung; Erfüllung der gesetzlichen Nachweispflichten; Verlegung,,,
Nursing services management system,,MbNursingServicesManagementSystem,Pflegedienstmanagementsystem,MbPflegedienstinformationssystem,Nursing services information system,Pflegedienstinformationssystem,"Das Pflegedienstmanagementsystem unterstützt das Tagesgeschäft von ambulanten Pflegediensten. Das betrifft die Organisation, hauptsächlich die Koordinierung der mobil tätigen Pflegekräfte, um eine optimale Ressourcenauslastung zu erreichen. Zum anderen wird die Dokumentation und deren weitere Verwendung in Abrechnung, Statistik und Controlling unterstützt.",,,,Leistungserfassung; Pflegedokumentation; Planung der mobilen Pflegekräfte; Leistungsabrechnung; Hohe betriebliche Transparenz; Statistik und Controlling; Pflegeziel- und Maßnahmenplanung,,,
Nursing management and documentation system,,MbNursingManagementAndDocumentationSystem,Pflegedokumentationssystem,MbPflegedokumentationssystem,"Electronic documentation of care and treatment services, Nursing information system",Pflegeinformationssystem; Digitale Pflegedokumentation; Elektronische Dokumentation von Pflegeleistungen; Digitales Pflegeprozessmanagement,"Das Pflegedokumentationssystem begleitet den gesamten Prozess der Pflegedokumentation: von der Anamnese, über die Planung der Pflege bis zur Leistungserfassung und Evaluation. Integriert sind standardisierte Pflegeterminologien und -klassifikationen und vordefinierte Pflegepläne können erstellt und wiederverwendet werden.",,Apenio von i-SOLUTIONS Health GmbH; M-Pflege von Meierhofer AG,,Pflegerische Aufnahme; Erstellung und Fortschreibung eines pflegerischen Behandlungsplans; Durchführung von pflegerischen Maßnahmen; Dokumentation der pflegerischen Behandlung; Kodieren von Diagnosen und Maßnahmen; Pflegerische Entlassung und Erstellung des Pflegeabschlussberichtes; Personalwesen; Pflegerisches Qualitätsmanagement; Kurvenführung; Wunddokumentation; Qualitätsmanagement,,,
Medical practice management system,,MbMedicalPracticeManagementSystem,Praxisverwaltungssystem,MbPraxisverwaltungssystem,,Arztpraxisinformationssystem; APIS; Arztinformationssystem; AIS; Praxisinformationssystem,"Die Funktionen des Praxisverwaltungssystem decken alle Aspekte der täglichen Arbeit in einer Arztpraxis ab. Das betrifft Dokumentation und Organisation der Behandlung, Funktionen für die Kommunikation von Überweisungen, Befunden und Bildern und die Anbindung von Geräten und Medizintechnik.",,Easymed von medatixx GmbH & Co. KG; Medatixx von medatixx GmbH & Co. KG; x.concept von medatixx GmbH & Co. KG; CGM Albis; CGM M1 PRO; CGM Medistar,,Abrechnung; Behandlungsprozessdokumentation; Stammdatenverwaltung; Patientendaten- und Falldatenverwaltung; Terminmanagement mit Wartezimmer- und Behandlungsliste; Statistik; Kommunikation; Datensicherung und -archivierung; Ressourcen-Management,,,
Radiology information system,,MbRadiologyInformationSystem,Radiologieinformationssystem,MbRadiologieinformationssystem,RIS,,"Auf Stationen auf denen radiologische Untersuchungen durchgeführt werden, unterstützt das RIS die gesamte Organisation und medizinische Dokumentation der Behandlung von ambulanten und stationären Patient:innen. Es stellt eine Verbindung bereit zu den bildgebenden radiologischen Geräten (Modalitäten), übermittelt an diese patientenbezogenen Daten und erhält von ihnen direkt die Untersuchungsdaten.",,ORBIS RIS von Dedalus; NEXUS RIS von NEXUS AG; medavis RIS von medavis GmbH,,Ärztliche Aufnahme; Durchführung von radiologischen Untersuchungen; Kodieren von Diagnosen und Maßnahmen; Medizingeräte-Management; Dienstplanung und Zeitwirtschaft; Abrechnung; Leistungserfassung; Terminmanagement; Medizinische Dokumentation; Digitale Diktatfunktion und Spracherkennung; Kommunikation von Befunden und Bildern; Strukturierte Befundschreibung; Verwaltung Patientenlisten; Bildmanagement,,,
Information system for mixed and rehab facilities,,MbInformationSystemForMixedAndRehabFacilities,Reha-Informationssystem,MbRehainformationssystem,,Informationssystem für die ambulante oder stationäre Rehabilitation,"In stationären Rehabilitationseinrichtungen wird das Reha-Informationssystem eingesetzt für die Dokumentation vom Erstkontakt bis zur Entlassung. Außerdem unterstützt es die optimale Planung der Durchführung der rehabilitativen Maßnahmen. Das betrifft Räume, Therapeuten und Geräte, welche für Einzel- und Gruppentermine zur Verfügung gestellt werden müssen.",,M-KIS Reha von Meierhofer AG,,Therapieplanung; Bettenbelegung; Durchführung der rehabilitativen Maßnahmen; Planung von Gruppenterminen; Therapiezielplanung und -überwachung; Verwaltung von Arbeitslisten; Leistungsdokumentation; Arztbriefschreibung; Abrechnung; Reha-spezifisches Revenue Management; Administration von Patient:innen; Ressourcenmanagement; Medizinische Dokumentation; Statistik,,,
Telehealth plattform,,MbTelehealthPlattform,Telemedizinsystem,MbTelemedizinsystem,Telemedicine system,Telemedizinische Anwendungen; Telemedizin-Portal,Die Gruppe der Telemedizinsysteme bilden Technologien zur Betreuung von Patient:innen via Telefon und Videochat und ermöglicht eine effizientere Arbeitsweise für Mediziner:innen. Sämtliche Arbeitsschritte werden vollständig elektronisch abgebildet und dokumentiert. Es bestehen oft Schnittstellen zu der Medizinischen Dokumentation und Patientenadministration um abrechnungsrelevante Daten an Systeme für die Abrechnung bereitstellen.,,Telehealth & Remote Monitoring Plattform von DataArt; Telemedizin-Portal und Teleradiologie-Portal von NEXUS AG,,Entscheidungsfindung; Durchführung diagnostische Maßnahmen;  Ferndiagnostik; Fernbehandlung,,,
Teleradiology system,,MbTeleradiologySystem,Teleradiologiesystem,MbTeleradiologiesystem,,,Teleradiologiesysteme ermöglichen das Bewerten von radiologischen Bildern über externe Radiologiearbeitsplätze. Es ist Teil der Telemedizinsysteme und oft eng verbunden mit RIS und PACS.,,,,Durchführung von diagnostischen Maßnahmen; Durchführung von radiologischen Untersuchungen; Ferndiagnostik,,,
Viewer,,MbViewer,Multifunktionsviewer,MbMultifunktionsviewer,,,"Durch einen Viewer werden medizinische Dokumente oder Bilddaten zur Betrachtung zur Verfügung gestellt. Die Daten werden aus dem PACS oder anderen Archivsystemen aufgerufen. Es kommt bei der Befundung, mobil bei der Visite oder der Bilddokumentation zum Einsatz und ist oft integriert in Systeme zur Speicherung oder Archivierung von Dokumenten und Bilddaten.",,mRay-Viewer von mbits imaging GmbH,,Befundung von medizinischen Bilddaten; Bilddokumentation; Durchführung diagnostischer Maßnahmen; Entscheidungsfindung,,,
Cytology Information System,,MbCytologyInformationSystem,Zytologieinformationssystem,MbZytologieinformationssystem,,,Das Zytologieinformationssystem hilft dabei die Vielzahl der unterschiedlichen Untersuchungen und deren Durchführung und Auswertung in zytologischen Laboren zu organisieren und unterstützt effiziente und effektive Arbeitsabläufe. Das System ähnelt in seinen Funktionalitäten einem Laborinformationssystem und erlaubt die Integration von Spezialgeräten.,,NEXUS / ZYTOLOGIE von NEXUS AG,,Materialmanagement; Abrechnung; Durchführung diagnostischer Untersuchungen,,,
