en,uri,unique,dctsource-suffix,dctsource,super,source,
Provide means for organizing career development,ProvideMeansForOrganizingCareerDevelopment,ProvideACollectionOfInternalProcessesAndRegulations,ProvideMeansForOrganizingCareerDevelopment,bb:ProvideMeansForOrganizingCareerDevelopment,HumanResourceManagement,,
Provide means for performance evaluation,ProvideMeansForPerformanceEvaluation,ProvideMeansForEditingAndGraphicallyIllustratingCollectionsOfInternalProcessesAndRegulations,ProvideMeansForPerformanceEvaluation,bb:ProvideMeansForPerformanceEvaluation,HumanResourceManagement,,
Provide a collection of internal processes and regulations,ProvideACollectionOfInternalProcessesAndRegulations,ProvideMeansForManagingLogistics,ProvideACollectionOfInternalProcessesAndRegulations,bb:ProvideACollectionOfInternalProcessesAndRegulations,QualityManagement,,
Provide means for editing and graphically illustrating collections of internal processes and regulations,ProvideMeansForEditingAndGraphicallyIllustratingCollectionsOfInternalProcessesAndRegulations,ProvideMeansForStockKeeping,ProvideMeansForEditingAndGraphicallyIllustratingCollectionsOfInternalProcessesAndRegulations,bb:ProvideMeansForEditingAndGraphicallyIllustratingCollectionsOfInternalProcessesAndRegulations,QualityManagement,,
Provide means for managing logistics,ProvideMeansForManagingLogistics,ProvideMeansForOrderManagement,ProvideMeansForManagingLogistics,bb:ProvideMeansForManagingLogistics,SupplyAndDisposalManagement,,
Provide means for stock keeping,ProvideMeansForStockKeeping,ProvideMeansForManagingAndMonitoringDisposal,ProvideMeansForStockKeeping,bb:ProvideMeansForStockKeeping,SupplyAndDisposalManagement,,
Provide means for order management,ProvideMeansForOrderManagement,IntegrateDataFromDifferentApplicationComponents,ProvideMeansForOrderManagement,bb:ProvideMeansForOrderManagement,SupplyAndDisposalManagement,,
Provide means for managing and monitoring disposal,ProvideMeansForManagingAndMonitoringDisposal,StructureData,ProvideMeansForManagingAndMonitoringDisposal,bb:ProvideMeansForManagingAndMonitoringDisposal,SupplyAndDisposalManagement,,
Integrate data from different application components,IntegrateDataFromDifferentApplicationComponents,AnalyzeData,IntegrateDataFromDifferentApplicationComponents,bb:IntegrateDataFromDifferentApplicationComponents,HospitalManagement,,
Structure data,StructureData,ProvideMeansForDataMining,,,HospitalManagement,,
Analyze data,AnalyzeData,ProvideMeansForRecruitingOfPatients,AnalyzeData,bb:AnalyzeData,HospitalManagement,,
Provide means for data mining,ProvideMeansForDataMining,ImportDocuments,ProvideMeansForDataMining,bb:ProvideMeansForDataMining,HospitalManagement,,
Provide means for recruiting of patients,ProvideMeansForRecruitingOfPatients,ScanDocuments,ProvideMeansForRecruitingOfPatients,bb:ProvideMeansForRecruitingOfPatients,ExecutionOfClinicalTrialsAndExperiments,,
Import documents,ImportDocuments,IndexDocumentContent,ImportDocuments,bb:ImportDocuments,ArchivingOfPatientInformation,,
Scan documents,ScanDocuments,ManageStorageFormats,ScanDocuments,bb:ScanDocuments,ArchivingOfPatientInformation,,
Index document content,IndexDocumentContent,ManageStorageMedia,IndexDocumentContent,bb:IndexDocumentContent,ArchivingOfPatientInformation,,
Manage storage formats,ManageStorageFormats,ProvideAccessToArchivedInformation,ManageStorageFormats,bb:ManageStorageFormats,ArchivingOfPatientInformation,,
Manage storage media,ManageStorageMedia,AttachDigitalSignatures,ManageStorageMedia,bb:ManageStorageMedia,ArchivingOfPatientInformation,,
Provide access to archived information,ProvideAccessToArchivedInformation,CommunicateDocumentsToOtherApplications,ProvideAccessToArchivedInformation,bb:ProvideAccessToArchivedInformation,ArchivingOfPatientInformation,,
Attach digital signatures,AttachDigitalSignatures,,AttachDigitalSignatures,bb:AttachDigitalSignatures,ArchivingOfPatientInformation,,
Communicate documents to other applications,CommunicateDocumentsToOtherApplications,,CommunicateDocumentsToOtherApplications,bb:CommunicateDocumentsToOtherApplications,ExecutionOfRadiologicalExaminations,,
