n,Header,Feature,synonyms,en,uri,super,comment,definition
CPS.1.6,Subject to Subject Relationship,,Subject to Subject Relationship,CPS.1.6 Subject to Subject Relationship,EhrSfmSubjectToSubjectRelationship,EhrSfmRecordManagement,Information about the relationships between patients and others facilitate healthcare delivery and appropriate access to health information.,"Information regarding relationships between patients and others serve to provide caregivers with an understanding of the patient's environment and support systems. Examples of relationships between patients and others include parent, relative, legal guardian, health care surrogate or payer."
CPS.1.6.1,,Related by Genealogy,Related by Genealogy,CPS.1.6.1 Related by Genealogy,EhrSfmRelatedByGenealogy,EhrSfmSubjectToSubjectRelationship,Provide information on relationships by genealogy.,"Relationships by genealogy may include genetic mother, next of kin, or family members. Appropriate consents must be acquired prior to the collection or use of this information."
CPS.1.6.2,,Related by Insurance,Related by Insurance,CPS.1.6.2 Related by Insurance,EhrSfmRelatedByInsurance,EhrSfmSubjectToSubjectRelationship,"Support interactions with other systems, applications, and modules to provide information on an insured person's relationships. Examples of relationships include domestic partner, spouse, and guarantor of payment.",Identifying relationship of persons insured under the same insurance plan is important for administrative transactions
CPS.1.6.3,,Related by Living Situation,Related by Living Situation,CPS.1.6.3 Related by Living Situation,EhrSfmRelatedByLivingSituation,EhrSfmSubjectToSubjectRelationship,"Provide information on relationships by living situation. Examples of living situations include college dormitory, military deployment, in same household.","Living situations may be important means for providers to uniquely identify patients or to identify illnesses that may occur within a given proximity. Patient relationships that may be affected by past situations may include the environment of the patient when the patient was a fetus, for example, a mother who worked in a chemical factory last week or while pregnant with the patient thirty years prior, or mother carried child during time of extreme famine."
CPS.1.6.4,,Related by Other Means,Related by Other Means,CPS.1.6.4 Related by Other Means,EhrSfmRelatedByOtherMeans,EhrSfmSubjectToSubjectRelationship,"Provide information on patient relationships that are represented other than by genealogy, insurance or living situation.","Patients relationships are not limited to genealogy, insurance or living situations. Other examples of patient relationships that are relevant to the healthcare or administrative process may include surrogate mother, guardian, a person authorized to see health records, health care surrogate, and persons who may be related by epidemiologic exposure."
CPS.1.7,,"Preferences, Directives, Consents and Authorizations","Preferences, Directives, Consents and Authorizations","CPS.1.7 Preferences, Directives, Consents and Authorizations",EhrSfmPreferencesDirectivesConsentsAndAuthorizations,EhrSfmSubjectToSubjectRelationship,"Capture and manage patient preferences, advance directives, consents and authorizations.","In the Preferences, Directives, Consents and Authorizations functions there are times when actions/activities related to “patients” are also applicable to the patient representative. Therefore, in this section, the term “patient” could refer to the patient, and/or the patient’s personal representative (i.e. guardian, surrogate, proxy, health care agent)."
CPS.1.7.1,,Support Patient and Family Preferences,Support Patient and Family Preferences,CPS.1.7.1 Support Patient and Family Preferences,EhrSfmSupportPatientAndFamilyPreferences,EhrSfmSubjectToSubjectRelationship,Support the integration of patient and family preferences into clinical decision support.,"Decision support functions should permit consideration of patient/family preferences and concerns, such as with language, religion, culture, medication choice, invasive testing, and advance directives. Such preferences should be captured in a manner that allows for their integration with the health record and easy retrieval from the health record. Preferences may be specified across all treatment plans or specifically to individual or set of treatment plans. Preferences may also be used to adjust patient information including labeling and medication instructions (e.g., for language and print size)."
CPS.1.7.2,,Manage Patient Advance Directives,Manage Patient Advance Directives,CPS.1.7.2 Manage Patient Advance Directives,EhrSfmManagePatientAdvanceDirectives,EhrSfmSubjectToSubjectRelationship,Capture and maintain patient advance directives.,"Patient advance directives and provider Do Not Resuscitate (DNR ) orders are captured, as well as the date and circumstances under which the directives were received, and the location of any paper or electronic advance directive documentation.Advanced Directives may include for example living will, durable power of attorney, preferred interventions for known conditions, or the existence of a ""Do Not Resuscitate"" order.Circumstances is used to indicate where, how and when an advanced directive was captured (e.g., provided by the patient's parent during initial consultation visit)."
CPS.1.7.3,,Manage Consents and Authorizations,Manage Consents and Authorizations,CPS.1.7.3 Manage Consents and Authorizations,EhrSfmManageConsentsAndAuthorizations,EhrSfmSubjectToSubjectRelationship,"Create, maintain, and verify patient decisions (such as informed consent for treatment or disclosure).","Decisions are documented and include the extent of information, verification levels and exposition of treatment options. This documentation helps ensure that decisions made at the discretion of the patient, family, or other responsible party, govern the actual care that is delivered or withheld. There may be several documents active at any one time that may govern a patient’s care. Both Clinical and administrative consents and authorizations are considered part of this function. A consent or authorization includes patient authorization for re-disclosure of sensitive information to third parties. Consents/Authorizations for printing should include appropriate standardized forms for patients, guardians, or foster parents. The system must appropriately present forms for adolescents according to privacy rules.Some jurisdictions may mandate assent. Assent is agreement by the patient to participate in services when they are legally unable to consent (e.g., an adolescent, an adult with early dementia)."
,,,,,,,,
CPS.2,,Support externally- sourced Information,Support externally- sourced Information,CPS.2 Support externally- sourced Information,EhrSfmSupportExternallySourcedInformation,EhrSfmCareProvisionSupport,Capture and maintain a variety of information from multiple external sources.,"External sources are those outside the EHR system, including clinical, administrative, and financial information systems, other EHR systems, Personal Health Record (PHR) systems, and data received through health information exchange networks."
CPS.2.1,,Support externally- sourced Clinical Documentation,Support externally- sourced Clinical Documentation,CPS.2.1 Support externally- sourced Clinical Documentation,EhrSfmSupportExternallySourcedClinicalDocumentation,EhrSfmSupportExternallySourcedInformation,Incorporate clinical documentation (computable and scanned) from external (to the system) sources.,"Mechanisms for incorporating external clinical documentation (including identification of source) are available. External is considered anything that is external to the system - i.e. documents from the organization; but created in another system would be considered 'external' for the purposes of this function. Documentation incorporated through these mechanisms is presented alongside locally captured documentation and notes wherever appropriate. This covers all types of documents received by the provider that would typically be incorporated into a medical record, including but not limited to faxes, referral authorizations, consultant reports, and patient/resident correspondence of a clinical nature. Intrinsic to the concept of electronic health records is the ability to exchange health information with other providers of health care services. Health information from these external sources needs to be received, stored in the patient record, and displayed upon request. External data and documents addressed in the function include: 1. Laboratory results received through an electronic interface - This information is to be received and stored in the resident record as discrete data, which means that each separate element of the data needs to be stored in its own field. Therefore, if laboratory results are received through an electronic interface, the results are received in the EHR and the laboratory test name, result (value), and unit of measure are correctly displayed as discrete data (vs. report format). 2. Scanned documents received and stored as images (e.g., power of attorney forms, Living wills) - These scanned documents are indexed and can be retrieved based on the document type, date of the original document, and the date of scanning. 3. Text-based outside reports (e.g., x-ray reports, hospital discharge summaries, history & physicals) - Any mechanism for capturing these reports is addendable: OCR, PDF, image file of report, etc. 4. Clinical images from an external source (e.g., radiographic images, digital images from a diagnostic scan or graphical images) – These images may be stored within the system or be provided through direct linkage to an external source such as a hospital PACS system. 5. Other forms of clinical results, such as wave files of EKG tracings. 6. Medication detail (e.g., a medication history) from an external source such as a pharmacy, the patient, payer, or another provider - While the medication detail includes the medication name, strength, and SIG, this does not imply that the data will populate the medication module. 7. Structured, text-based reports (e.g., medical summary text in a structured format). 8. Standards-based structured, codified data (e.g., a Continuity of Care Document (CCD) with SNOMED CT). Data incorporated through these mechanisms is presented alongside locally captured documentation and notes wherever appropriate."
CPS.2.2,,Support externally- sourced Clinical Data,Support externally- sourced Clinical Data,CPS.2.2 Support externally- sourced Clinical Data,EhrSfmSupportExternallySourcedClinicalData,EhrSfmSupportExternallySourcedInformation,Incorporate discrete clinical data from external sources and support communication/presentation of data captured from medical and non-medical devices and entities.,"Mechanisms for incorporating external clinical data (including identification of source) are available and communication with non-medical devices and entities is supported as appropriate to the care setting such as an office or a patient's home. Externally-sourced data may be presented with locally-sourced documentation and notes wherever appropriate. This covers all types of data received by the provider that would typically be incorporated into a medical record, including but not limited to faxes, referral authorizations, consultant reports, and patient/resident correspondence of a clinical nature. Intrinsic to the concept of electronic health records is the ability to exchange health information with other providers of health care services. Health information from these external sources needs to be received, stored in the patient record, and displayed upon request. Examples of externally-sourced data and documents include: 1. Laboratory results received through an electronic interface. This information is received and stored in the resident record as discrete data, which means that each separate element of the data needs to be stored in its own field. Therefore, if laboratory results are received through an electronic interface, the results are received in the EHR and the laboratory test name, result (value), and unit of measure are correctly displayed as discrete data (instead of in report or summarized format). 2. Scanned documents received and stored as images (e.g., power of attorney forms or living wills). These scanned documents are indexed and can be retrieved, e.g., based on the document type, date of the original document, and the date of scanning. 3. Text-based outside reports (e.g., x-ray reports, hospital discharge summaries or history and physical examinations). Any mechanism for capturing these reports is acceptable (e.g., OCR, PDF, JPG or TIFF). 4. Clinical images from an external source (e.g., radiographic images, digital images from a diagnostic scan or graphical images). These images may be stored within the system or be available by direct linkage to an external source (e.g., a hospital's picture archiving and communication system). 5. Other forms of clinical results (e.g., EKG waveforms). 6. Medication history from an external source such as a retail pharmacy, the patient, or another provider. While the medication history includes the medication name, strength, and SIG, this does not imply that the data will populate the medication administration module. In many systems the medication administration module is populated from the medication order rather than from the medication history. 7. Structured, text-based reports (e.g., medical summary text in a structured format). 8. Standards-based structured, codified data (such as a standards-based referral letter that contains SNOMED CT codes). Such data may be presented with locally-sourced documentation and notes wherever appropriate."
CPS.2.3,,Support Emergency Medical System Originated Data,Support Emergency Medical System Originated Data,CPS.2.3 Support Emergency Medical System Originated Data,EhrSfmSupportEmergencyMedicalSystemOriginatedData,EhrSfmSupportExternallySourcedInformation,Provide the ability to capture and maintain patient information from an external Emergency Medical System (EMS).,"Emergency Medical Systems can provide care at the patient’s location, prior to transport, or while enroute to medical facilities via ambulance, aeromedical evacuation and other transport mechanisms. Key parts of information about the patient can be gathered here, some of which is computable data (e.g., EKG and other telemetry), non-computable text-based and multimedia digital objects (e.g., images, audio reports and conversations)."
CPS.2.4,,Support externally- sourced Clinical Images,Support externally- sourced Clinical Images,CPS.2.4 Support externally- sourced Clinical Images,EhrSfmSupportExternallySourcedClinicalImages,EhrSfmSupportExternallySourcedInformation,Incorporate clinical images from external sources and support communication/presentation of images from medical and non-medical devices and entities.,"Mechanisms for incorporating external clinical images (including identification of source) are available and communication with non-medical devices and entities is supported as appropriate to the care setting such as an office or a patient's home. Externally sourced images may be presented with locally-sourced documentation and notes wherever appropriate. This covers all types of images received by the provider that would typically be incorporated into a medical record. These image documents are indexed and can be retrieved, e.g., based on the document type, date of the original document, and the date of scanning. Images may also be stored within the system or accessed by reference to an external system (e.g., a hospital's picture archiving and communication system). Examples of image formats include OCR, PDF, JPG or TIFF. Examples of externally-sourced images include: laboratory results report images 2. Radiographic images3. Images of power of attorney forms, living wills or birth certificates4. Graphs and charts5. Photographs or drawings of patient wounds6. Wave files of EKG tracings"
CPS.2.5,,Support patient- originated Data,Support patient- originated Data,CPS.2.5 Support patient- originated Data,EhrSfmSupportPatientOriginatedData,EhrSfmSupportExternallySourcedInformation,"Capture and explicitly label patient-originated data, link the data source with the data, and support provider  authentication for inclusion in patient health record.","It is critically important to be able to distinguish clinically authored and authenticated data from patient-originated data that is either provided by the patient for inclusion in the EHR or entered directly into the EHR by the patient from clinically authenticated data. Patients may provide data for entry into the health record or be given a mechanism for entering this data directly. Patient-originated data intended for use by providers will be available for their use.Data about the patient may be appropriately provided by: the patient;2. a surrogate (e.g., parent, spouse, guardian); 3. an informant (e.g., teacher, lawyer, case worker); or4. devices (e.g., blood pressure/ sugar monitors).An electronic health record may provide the ability for direct data entry by any of these. Patient-originated data may also be captured by devices and transmitted for inclusion into the electronic health record.Data entered by any of these must be stored with source information. A provider must authenticate patient-originated data included in the patient's legal health record. A provider must be able to indicate they have verified the accuracy of patient-originated data (when appropriate and when a verification source is available) for inclusion in the patient record.Such verification does not have to occur at each individual data field and can be at a higher level of the data."
CPS.2.6,,Support Patient Health Data Derived from Administrative and Financial Data and Documentation,Support Patient Health Data Derived from Administrative and Financial Data and Documentation,CPS.2.6 Support Patient Health Data Derived from Administrative and Financial Data and Documentation,EhrSfmSupportPatientHealthDataDerivedFromAdministrativeAndFinancialDataAndDocumentation,EhrSfmSupportExternallySourcedInformation,Capture and explicitly label patient health data derived from administrative or financial data; and link the data  source with that data.,It is critically important to be able to distinguish patient health data derived from administrative or financial data from clinically authenticated data.
CPS.2.7,,"Support Patient Data Derived from Eligibility, Formulary and Benefit Documentation for Electronic Prescribing","Support Patient Data Derived from Eligibility, Formulary and Benefit Documentation for Electronic Prescribing","CPS.2.7 Support Patient Data Derived from Eligibility, Formulary and Benefit Documentation for Electronic Prescribing",EhrSfmSupportPatientDataDerivedFromEligibilityFormularyAndBenefitDocumentationForElectronicPrescribing,EhrSfmSupportExternallySourcedInformation,"Capture and explicitly label patient data derived from eligibility, formulary and benefit information; and link the  data source with that data.","Sources of eligibility, formulary and benefit may provide data for entry into the electronic prescribing or be given a mechanism for entering this data directly. The data must be explicitly labeled as derived from eligibility, formulary and benefit information. Patient data that is derived from eligibility, formulary and benefit data may be provided by: 1. a provider 2. a payer, or 3. entities that transmit or process eligibility, formulary and benefit data"
CPS.2.8,,Support Medical Device Originated Data,Support Medical Device Originated Data,CPS.2.8 Support Medical Device Originated Data,EhrSfmSupportMedicalDeviceOriginatedData,EhrSfmSupportExternallySourcedInformation,Support collection and presentation of data captured from medical and medication monitoring devices.,"Collection of medical device information is supported as appropriate to the care setting. Examples include: vital signs/pulse oximeter, anesthesia machines, home diagnostic devices for chronic disease management, laboratory machines, bar coded artifacts (e.g., medicine, immunizations, demographics, history, and identification), transcranial magnetic stimulation systems, or medication reminder systems."
CPS.3,Support Clinical Documentation,,Support Clinical Documentation,CPS.3 Support Clinical Documentation,EhrSfmSupportClinicalDocumentation,EhrSfmCareProvisionSupport,"Standard assessments, guidelines and prompts are provided to facilitate decision support for the optimization of patient care based on specific medical conditions.","Provider support is offered for the consideration of issues that would help assure optimal patient management. These may include standard assessments, care plans and treatment protocols, with triggers and prompts to assist during the patient encounter. Recommendation for patient testing and follow-up is also included along with decision support for patient self-management of a condition between patient-provider encounters."
CPS.3.1,,Support for Standard Assessments,Support for Standard Assessments,CPS.3.1 Support for Standard Assessments,EhrSfmSupportForStandardAssessments,EhrSfmSupportClinicalDocumentation,"Support the establishment, updates and use of assessment forms that will assist in the development of and adherence to care plans, guidelines, and protocols at the point of information capture.","As part of managing assessment definitions, the system will support the ability to create a set of assessment forms and, optionally, associated logic (e.g., workflow, business and clinical rules). This assessment definition process may include the ability to define, revise and manage the tools, files and processing for the conduct of a patient assessment. Furthermore, the assessment definition may also include template development, prompts for additional information, related notification alerts and workflow processes. When a clinician fills out an assessment, data entered triggers the system to prompt the assessor to consider issues that would help assure a complete/accurate assessment. A simple demographic value or presenting problem (or combination) could provide a template for data gathering that represents best practice in this situation, e.g., Type 2 (Adult Onset) Diabetes diabetic review, fall and 70+, and rectal bleeding. Support for standard assessment may include the ability to record and store the value for the answers to specific questions in standardized assessment tools or questionnaires. When a specific recognized-standard assessment does not exist, the system will support the creation of unique new, locally-defined assessment. The system may enable, and/or encourage the use of the format and data elements of similar assessments in the systems whenever possible. (NOTE: A new assessment may not necessarily be unique, since a facility may copy an assessment from another facility.)"
CPS.3.2,,Support for Patient Context-Driven Assessments,Support for Patient Context-Driven Assessments,CPS.3.2 Support for Patient Context-Driven Assessments,EhrSfmSupportForPatientContextdrivenAssessments,EhrSfmSupportClinicalDocumentation,Offer prompts based on patient-specific data at the point of information capture for assessment purposes.,"When a clinician fills out an assessment, data entered is matched against data already in the system to identify potential linkages and optimize patient care. For example, the system could scan the medication list and the knowledge base to see if any of the symptoms are side effects of medication already prescribed. Important diagnoses could be brought to the doctor’s attention, for instance ectopic pregnancy in a woman of child bearing age, or appendicitis in a geriatric patient who has abdominal pain."
CPS.3.3,,"Support for Standard Care Plans, Guidelines, Protocols","Support for Standard Care Plans, Guidelines, Protocols","CPS.3.3 Support for Standard Care Plans, Guidelines, Protocols",EhrSfmSupportForStandardCarePlansGuidelinesProtocols,EhrSfmSupportClinicalDocumentation,"Support the use of appropriate standard care plans, guidelines, protocols, and/or clinical pathways for the management of specific conditions.","A core capability of Clinical Decision Support is that of providing guidelines, plans and protocols to clinicians. These templates or forms can be specific for populations, medical conditions or individual patients. Before they can be used in care provision standard care plans, guidelines, protocols, and clinical pathways must be created. These templates or forms may reside within the system or be provided through links to external sources, and can be modified and used on a site specific basis. To facilitate retrospective decision support, variances from standard care plans, guidelines, protocols and clinical pathways can be identified and reported."
CPS.3.4,,"Support for Context- Sensitive Care Plans, Guidelines, Protocols","Support for Context- Sensitive Care Plans, Guidelines, Protocols","CPS.3.4 Support for Context- Sensitive Care Plans, Guidelines, Protocols",EhrSfmSupportForContextSensitiveCarePlansGuidelinesProtocols,EhrSfmSupportClinicalDocumentation,"Identify and present the appropriate care plans, guidelines, protocols, and/or clinical pathways for the management of patientspecific conditions that are identified in a patient clinical encounter.","At the time of the clinical encounter (problem identification), recommendations for tests, treatments, medications, immunizations, referrals and evaluations are presented based on evaluation of patient-specific data such as age, gender, developmental stage, their health profile, and any site-specific considerations. These may be modified on the basis of new clinical data at subsequent encounters."
CPS.3.5,,Support for Research Protocols Relative to Individual Patient Care,Support for Research Protocols Relative to Individual Patient Care,CPS.3.5 Support for Research Protocols Relative to Individual Patient Care,EhrSfmSupportForResearchProtocolsRelativeToIndividualPatientCare,EhrSfmSupportClinicalDocumentation,Provide support for the management of patients enrolled in research protocols.,"The clinician is presented with appropriate protocols for patients participating in research studies, and is supported in the management and tracking of study participants."
CPS.3.6,,Support Self-Care,Support Self-Care,CPS.3.6 Support Self-Care,EhrSfmSupportSelfcare,EhrSfmSupportClinicalDocumentation,Provide the patient with decision support for self-management of a condition between patient/provider  encounters.,"Patients need to follow self-management plans related to their specific conditions. These plans may include schedules for home monitoring, laboratory tests, and clinical checkups; recommendations about nutrition, physical activity, tobacco use, etc.; and guidance or reminders about medications. Information to support self-care may be appropriately provided to: the patient, a surrogate (parent, spouse, guardian), or others involved directly in the patients self care."
CPS.3.7,,Capture Guidelines and Standards from External Sources,Capture Guidelines and Standards from External Sources,CPS.3.7 Capture Guidelines and Standards from External Sources,EhrSfmCaptureGuidelinesAndStandardsFromExternalSources,EhrSfmSupportClinicalDocumentation,Capture practice guidance from a variety of “trusted” external sources.,"Capture and import information provided by external health care organizations as relates to clinical practice guidelines (CPGs). External healthcare organizations in this function include, but are not limited to Patient management systems, Healthcare delivery organizations, Population health/surveillance organizations (e.g., local, regional, national and global Public Health services, PAHO, WHO), and professional, governmental, or industrial healthcare optimization initiatives."
CPS.3.8,,Manage Documentation of Clinician Response to Decision Support Prompts,Manage Documentation of Clinician Response to Decision Support Prompts,CPS.3.8 Manage Documentation of Clinician Response to Decision Support Prompts,EhrSfmManageDocumentationOfClinicianResponseToDecisionSupportPrompts,EhrSfmSupportClinicalDocumentation,Capture the decision support prompts and manage provider actions to accept or override decision support  prompts.,"Provider actions in response to prompts offered from decision support are captured. Management of these actions be accomplished at the patient level or aggregated for patient population, research protocol, or organizational trending."
CPS.3.9,,Clinical Decision Support System Guidelines Updates,Clinical Decision Support System Guidelines Updates,CPS.3.9 Clinical Decision Support System Guidelines Updates,EhrSfmClinicalDecisionSupportSystemGuidelinesUpdates,EhrSfmSupportClinicalDocumentation,Capture and maintain updates of clinical decision support system guidelines and associated reference material.,"System content such as discharge instructions, clinical guidelines, formularies, and other knowledge bases should be capable of being maintained and updated, independent of a particular encounter. Clinical decision support rules may be applied to the system using a manual process. As standards are developed to represent these rules, an automated update will be recommended. Any process to update decision support rules should include the verification of the appropriateness of the rules to the system. This may include but not be limited to authenticity of the source, the currency of the version, and any necessary approvals before updates can take place."
CPS.3.10,,Support for Identification of Potential Problems and Trends,Support for Identification of Potential Problems and Trends,CPS.3.10 Support for Identification of Potential Problems and Trends,EhrSfmSupportForIdentificationOfPotentialProblemsAndTrends,EhrSfmSupportClinicalDocumentation,"Identify conditions of clinical interest, identify trends that may lead to significant problems, and provide prompts for clinical decision support.","Providing the health care provider with a prompt, notification or alert for identified specific concerns of clinical interest is a cornerstone of Clinical Decision Support. When personal health information is collected directly during a patient visit, input by the patient, or acquired from an external source (laboratory results), it is important to be able to identify and tag potential problems and trends that may be condition- or patient-specific (given the individual's personal health profile), or changes warranting further assessment."
CPS.3.11,,Support Other Encounter and Episode of Care Documentation,Support Other Encounter and Episode of Care Documentation,CPS.3.11 Support Other Encounter and Episode of Care Documentation,EhrSfmSupportOtherEncounterAndEpisodeOfCareDocumentation,EhrSfmSupportClinicalDocumentation,"Where not covered above, provide the means to manage and organize the documentation of the health care needed and delivered during an encounter/episode of care.","Using data standards and technologies that support interoperability, effective documentation of an encounter can promote patient- centered/oriented care and enables real-time, immediate point-of-service care delivery. Effective encounter and episode-of-care documentation can facilitate efficient work flow and improve operations performance. This can help to ensure the integrity of (1) the health record, (2) public health, financial and administrative reporting, and (3) the healthcare delivery process."
CPS.3.12,,Manage Health Information Record Quality,Manage Health Information Record Quality,CPS.3.12 Manage Health Information Record Quality,EhrSfmManageHealthInformationRecordQuality,EhrSfmSupportClinicalDocumentation,"Support grammatical and lexical integrity of the health record by providing medical spelling, thesaurus and grammar ready assistance during clinical documentation as well as enabling shortcuts for pre-defined text.","Users and patients will benefit from features that enable rapid checking of spelling and grammar, a medical thesaurus function as well as text shortcuts to expand pre-defined text during clinical documentation. A shortcut may also be defined to trigger a specific system function such as the opening of a pre-defined template. These functions may be defined at an enterprise level based on scope of practice, organizational policy, and/or jurisdictional law. However, pre-defined text may also be configured by provider or provider type."
CPS.4,Support Orders,,Support Orders,CPS.4 Support Orders,EhrSfmSupportOrders,EhrSfmCareProvisionSupport,Support for Orders is required to ensure that appropriate decision support and safety checks are conducted by the system at the time of ordering as well as at the time of dispensing medications or immunizations.,"Support for orders includes the management of order set templates, the support for specific types of orders including medication, immunization, non-medication, diagnostic tests as well as blood products and biologicals.Decision Support for orders includes checking for allergies or adverse interactions, dosing checking and issuing the appropriate warnings. It may also include functions to increase ordering efficiency such as verifying all necessary information to fulfill the order is captured and making recommendations for supporting orders.A component of ordering medications and immunizations is the dispensing of those orders and, where applicable, this function will include criteria to support dispensing. Note: Administration of Orders is included in CPS.6 (Support for Treatment Administration)."
CPS.4.1,,Manage Order Set Templates,Manage Order Set Templates,CPS.4.1 Manage Order Set Templates,EhrSfmManageOrderSetTemplates,EhrSfmSupportOrders,"Maintain order set templates based on preferred standards, provider preferences, organizational policy or other criteria.","Order set templates, which may include medication orders, allow a care provider to choose common orders for a particular circumstance or disease state according to standards (e.g., best practice guidelines) or other criteria. Order Set Templates may be defined to allow or not allow the provider to modify (add/remove/update) specific orders when applying them to a specific patient."
CPS.4.2,,Support Medication and Immunization Ordering,Support Medication and Immunization Ordering,CPS.4.2 Support Medication and Immunization Ordering,EhrSfmSupportMedicationAndImmunizationOrdering,EhrSfmSupportOrders,"Provide functionality to alert providers to potential medication and immunization ordering errors (such as wrong patient, wrong drug, wrong dose, wrong route and wrong time).","During medication or immunization ordering it is critical to minimize potential errors that can cause adverse events. This is accomplished by the EHR system through the use of clinical decision support and prompting to validate the order at time of ordering. Whist many of these functions are more commonly associated with medication ordering; they also apply to ordering of immunizations when such ordering occurs. The support includes the checking for drug/drug interactions, checking against documented allergies or previous adverse events as well as validating patient-specific dosing and providing appropriate warnings. support for medial ordering efficiencies also ensures that orders are appropriate and contain all required supporting information."
CPS.4.2.1,,Support for Medication Interaction and Allergy Checking,Support for Medication Interaction and Allergy Checking,CPS.4.2.1 Support for Medication Interaction and Allergy Checking,EhrSfmSupportForMedicationInteractionAndAllergyChecking,EhrSfmSupportOrders,"Identify medication interaction warnings at the time of medication or immunization ordering, or prescribing, as well as at the time of dispensing.","The clinician is alerted to medication-medication, medication-allergy, medication-food, medication-supplement (herbal or dietary) interactions at levels appropriate to the health care setting and with respect to the patient condition. These alerts may be customized to suit the user or group.Note, medication may be affected by food or diatary choices; whist this is not considered an interaction it is consequently not included in this function; however, the provision of drug-food effectiveness in information to be provided to the patient is included in the function CP.8.1 (Generate, Record and Distribute Patient-Specific Instructions).If the patient’s condition is one where, in order to view the necessary components of the health record, patient authorization or consent is required; then the system should show the medication but mask the condition for which the medication is prescribed until the required consent or authorization is available. In an emergent situation, where all health information is required to provide the most effective treatment, and it is not possible to obtain an authorization or consent; the system should provide an override (e.g., ""break the glass"") function to allow access to the diagnosis or problem for which a medication was ordered, according to scope of practice, organizational policies, and/or jurisdictional law."
CPS.4.2.2,,Support of patient- specific Dosing and Warnings,Support of patient- specific Dosing and Warnings,CPS.4.2.2 Support of patient- specific Dosing and Warnings,EhrSfmSupportOfPatientSpecificDosingAndWarnings,EhrSfmSupportOrders,Identify and present appropriate dose recommendations based on known patient conditions and characteristics at the time of medication ordering and dispensing.,"The clinician is alerted to patient-specific contraindications and warnings e.g., pregnancy, breast-feeding or occupational risks, hepatic or renal insufficiency. The preferences of the patient may also be presented (e.g., reluctance to use an antibiotic). Additional patient parameters, such as age, gestation, genetic disposition, height, weight, and Body Surface Area (BSA), shall also be incorporated."
CPS.4.2.3,,Support for Medication Ordering Efficiencies,Support for Medication Ordering Efficiencies,CPS.4.2.3 Support for Medication Ordering Efficiencies,EhrSfmSupportForMedicationOrderingEfficiencies,EhrSfmSupportOrders,Provide the tooling necessary to support efficient medication ordering.,"Support efficient medication ordering workflows by allowing medications to be sorted and reviewed by key attributes, e.g., generic or trade names. Also support editing medication orders across multiple instances of an order and capturing medication orders in order sets."
CPS.4.2.4,,Support for Medication Recommendations,Support for Medication Recommendations,CPS.4.2.4 Support for Medication Recommendations,EhrSfmSupportForMedicationRecommendations,EhrSfmSupportOrders,"Offer recommendations and options in medication treatment protocols as well as supporting medication monitoring on the basis of patient diagnosis, patient characteristics, or therapeutic guidelines and protocols.","The system should list medication treatment options on the basis of practice standards and the patient's conditions, diagnoses and characteristics (e.g., obesity, occupation). The system may also provide prompts and notifications to support medication monitoring."
CPS.4.2.5,,Support for Medication Reconciliation,Support for Medication Reconciliation,CPS.4.2.5 Support for Medication Reconciliation,EhrSfmSupportForMedicationReconciliation,EhrSfmSupportOrders,Review a patient’s medication information (from more than one source) and reconcile conflicts.,"Medication reconciliation is the process of comparing a patient's medication information (from all sources) to the medications that the patient is actually has been taking. Medication reconciliation is done to avoid medication errors such as omissions, duplications, dosing errors, or drug interactions. Medication Reconciliation should be done at every episode or transition of care in which new medications are ordered or administered, existing orders are rewritten or where medications may influence the care given.Transitions in care include changes in setting, service, practitioner, or level of care. The Medication Reconciliation process comprises five includes several steps: (1) develop a list of current medication list of medications that the patient is taking, (2) develop a list of medications to be prescribed or recommended (3) compare the medication information from all sources; (4) make shared and informed clinical decisions based on the comparison and provide the ability to document the interaction; and (5) communicate the updated medication information to the healthcare teams, the patient and appropriate caregivers. For example: If a patient’s pain, anticoagulation, hyperglycemia or other high risk therapy is being managed by a specialist, the healthcare team must be aware to avoid prescribing an additional equivalent of this medication.(6) Verify the patient’s/caregiver’s understanding and agreement to the patient’s medication treatment plan.(7) Standardization of shared medication information (name, dose, instructions, indications, prescriber, etc)"
CPS.4.3,,Support for Non- Medication Ordering,Support for Non- Medication Ordering,CPS.4.3 Support for Non- Medication Ordering,EhrSfmSupportForNonMedicationOrdering,EhrSfmSupportOrders,"Facilitate provider review and validation of order information to make it pertinent, effective and resource-conservative at the point of order entry.","The system assists provider during order entry for therapies, treatments, care, diagnostics and medical supplies and equipment. Support includes, for example: alerts to duplicate orders, missing results or other information required to initiate order, suggested corollary orders, order sets, best practice guidelines, institution-specific order guidelines and patient diagnosis specific recommendations. Also alerts for orders that may be inappropriate or contraindicated for specific patients, for example, X-rays on pregnant women."
CPS.4.4,,Support Orders for Diagnostic/Screening Tests,Support Orders for Diagnostic/Screening Tests,CPS.4.4 Support Orders for Diagnostic/Screening Tests,EhrSfmSupportOrdersForDiagnosticscreeningTests,EhrSfmSupportOrders,This function has not been defined and is captured here as a place-holder for potential further development of the Functional Model and to maintain alignment with the corresponding CP section.,None Defined at this time.
